Name,Program Link,Requirement Link,Deadline,GRE
University of Texas--Austin,https://stat.utexas.edu/academics/phd-statistics/phd-statistics-admissions-process,https://stat.utexas.edu/academics/phd-statistics/phd-statistics-admissions-process,,
Rice University,https://statistics.rice.edu/academics/graduate/graduate-admissions,https://statistics.rice.edu/sites/g/files/bxs3561/files/2019-07/Rice_University_Horizontal_Blue.svg?sa=X&ved=2ahUKEwjxzMf03ZL7AhVvmmoFHbHoBK4Q_B16BAgGEAI,,
Colorado State University,https://statistics.colostate.edu/msphd-programs-in-statistics/,https://statistics.colostate.edu/msphd-programs-in-statistics/,,
Florida State University,https://stat.fsu.edu/graduate-program/admissions,https://stat.fsu.edu/graduate-program/admissions,,
Michigan State University,https://stt.natsci.msu.edu/graduate-program/graduate-application/future-msu-graduate-student-graduate-admission-procedure/,https://grad.msu.edu/apply/phddata,,
University of Connecticut,https://grad.uconn.edu/admissions/apply-to-uconn/,https://grad.uconn.edu/admissions/requirements/,,
University of Iowa,https://informatics.grad.uiowa.edu/prospective-students/phd-and-ms-admission,https://stat.uiowa.edu/graduate-programs-faq,,
University of Georgia,https://www.stat.uga.edu/phd-statistics,https://www.stat.uga.edu/prospective-graduate-students-0,,
University of Pittsburgh,https://www.stat.pitt.edu/graduate/admissions,https://www.stat.pitt.edu/graduate/admissions,,
New York University,https://www.stern.nyu.edu/programs-admissions/phd/academics/fields-study/specialization-in-statistics,https://www.stern.nyu.edu/programs-admissions/phd/admissions/how-to-apply,,
Northwestern University,https://statistics.northwestern.edu/graduate/phd-program/how-to-apply.html,https://statistics.northwestern.edu/graduate/phd-program/how-to-apply.html,,
University of Missouri--Columbia,https://stat.missouri.edu/grad/admissions,https://stat.missouri.edu/grad/admissions,,
Virginia Tech,https://www.stat.vt.edu/academics/graduate/graduate-admissions.html,https://www.stat.vt.edu/academics/graduate/graduate-admissions.html,,
Boston University,https://www.bu.edu/stat/graduate-program-information/admissions/,https://www.bu.edu/stat/graduate-program-information/admissions/,,
George Washington University,https://statistics.columbian.gwu.edu/phd-statistics,https://statistics.columbian.gwu.edu/phd-statistics,,
University of California--San Diego,https://ir.ucsd.edu/grad/index.html,https://math.ucsd.edu/students/graduate/how-to-apply,,
Temple University,https://www.temple.edu/academics/degree-programs/statistics-phd-bu-stat-phd,https://www.temple.edu/academics/degree-programs/statistics-phd-bu-stat-phd/fox-statistics-phd-admissions,,
University of California--Riverside,https://statistics.ucr.edu/graduate-program,https://statistics.ucr.edu/graduate-program/prospective-students,,
University of California--Santa Barbara,https://www.pstat.ucsb.edu/graduate/prospective,https://www.pstat.ucsb.edu/graduate/perspective/application/faq,,
University of California--Santa Cruz,https://grad.soe.ucsc.edu/stats,https://grad.soe.ucsc.edu/stats,,
University of Virginia,https://statistics.as.virginia.edu/sites/statistics.as.virginia.edu/files/Dear%20Potential%20Applicant%20to%20UVA%20Statistics%20Graduate%20Programs.pdf,https://statistics.as.virginia.edu/admissions,,
Arizona State University,https://math.asu.edu/admission/graduate-admission/how-apply,https://math.asu.edu/admission/graduate-admission/how-apply,,
University of Rochester,https://www.urmc.rochester.edu/education/graduate/phd/statistics/about-the-program/faq.aspx,https://www.urmc.rochester.edu/education/graduate/phd/statistics/apply.aspx,,
University of Illinois--Chicago,https://mscs.uic.edu/graduate/admissions-and-financial-aid/,https://stat.uchicago.edu/admissions/admissions-faqs/,,
University of Massachusetts--Amherst,https://www.petersons.com/graduate-schools/university-of-massachusetts-amherst-college-of-natural-sciences-department-of-mathematics-and-statistics-000_10050705.aspx,https://www.math.umass.edu/graduate/how-to-apply,,
University of South Carolina,https://sc.edu/study/colleges_schools/graduate_school/apply/degree_programs-application-requirements/statistics-phd/index.php,https://sc.edu/study/colleges_schools/artsandsciences/statistics/apply/index.php,,
George Mason University,https://statistics.gmu.edu/academics/phd-statistical-science,https://statistics.gmu.edu/academics/phd-statistical-science,,
Indiana University--Bloomington,https://stat.indiana.edu/graduates/degrees/phd-statistical-science.html,https://stat.indiana.edu/graduates/degrees/phd-statistical-science.html,,
Oregon State University,https://stat.oregonstate.edu/content/graduate-major-programs,https://stat.oregonstate.edu/content/applying-admission,,
SMU,https://www.smu.edu/Moody/Prospective-Students/Application-Deadlines/DedmanAppDeadlines,https://www.smu.edu/Dedman/Academics/Departments/Economics/Graduate/PhD/Apply,,
University of Arizona,https://statistics.arizona.edu/admissions,https://grad.arizona.edu/catalog/programinfo/STATPHD,,
University of Maryland--Baltimore County,https://gradschool.umbc.edu/admissions/programs/stat/,https://gradschool.umbc.edu/admissions/programs/stat/,,
Washington University in St. Louis,https://math.wustl.edu/graduate,https://math.wustl.edu/graduate-application-information,,
Clemson University,https://www.clemson.edu/science/academics/departments/mathstat/academics/grad-apply.html,https://www.clemson.edu/science/academics/departments/mathstat/academics/grad-apply.html,,
University of Notre Dame,https://acms.nd.edu/graduate/phd-programs/,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-phd---doctoral/,,
Case Western Reserve University,https://mathstats.case.edu/graduate-programs/phd-in-statistics/,https://mathstats.case.edu/graduate-programs__trashed/admission/,,
University of Cincinnati,https://www.artsci.uc.edu/departments/math/grad/phd-stats.html,https://www.artsci.uc.edu/departments/math/grad/phd-stats.html,,
University of Kentucky,https://stat.as.uky.edu/statistics-admissions,https://stat.as.uky.edu/statistics-admissions,,
Baylor University,https://www.baylor.edu/math/index.php?id=54116,https://statistics.artsandsciences.baylor.edu/graduate/how-apply,,
Kansas State University,https://www.k-state.edu/stats/academics/gradstudents/AdmitInternational.html,https://www.k-state.edu/stats/academics/gradstudents/AdmitInternational.html,,
University of Nebraska,https://statistics.unl.edu/phd-program,https://graduate.unl.edu/academics/programs/STAT-PHD,,
University of Texas--Dallas,https://www.utdallas.edu/fact-sheets/nsm/phd-statistics/,https://graduate-admissions.utdallas.edu/apply-to-ut-dallas/documents-and-test-scores/,,
University of Colorado--Denver,https://clas.ucdenver.edu/mathematical-and-statistical-sciences/admissions-phd-applied-mathematics,https://clas.ucdenver.edu/mathematical-and-statistical-sciences/admissions-phd-applied-mathematics,,
University of North Carolina--Charlotte,https://math.charlotte.edu/graduate-program-information/admissions,https://math.charlotte.edu/graduate-program-information/admissions/faqs-about-math-graduate-programs-admission,,
Binghamton University--SUNY,https://www.binghamton.edu/math/graduate/mathematical-sciences.html,https://www.binghamton.edu/apps/academics/program/gd/statistics,,
Bowling Green State University,https://www.bgsu.edu/arts-and-sciences/mathematics-and-statistics/graduate-programs/phd-programs.html,https://www.bgsu.edu/arts-and-sciences/mathematics-and-statistics/graduate-programs/apply.html,,
Lehigh University,https://math.cas.lehigh.edu/graduate-programs-mathematics,https://math.cas.lehigh.edu/graduate-programs-mathematics,,
University of Central Florida,https://graduate.ucf.edu/application-deadlines-and-requirements/,https://sciences.ucf.edu/statistics/graduate/admissions/,,
University of New Mexico,https://math.unm.edu/graduate/graduate-studies-statistics,https://math.unm.edu/graduate/graduate-program-applications,,
Washington State University,https://gradschool.wsu.edu/degrees/factsheet/doctor-philosophy-statistical-science/,https://www.math.wsu.edu/graduatestudies/application-checklist.php,,
Worcester Polytechnic Institute,https://www.wpi.edu/academics/study/phd-statistics,https://www.wpi.edu/admissions/graduate/how-to-apply,,
Auburn University,https://www.auburn.edu/cosam/departments/biology/grad/application/phd_ms_thesis/index.htm,https://www.auburn.edu/cosam/departments/math/students/grad/prospective/index.htm,,
University of Texas--San Antonio,https://business.utsa.edu/programs/phd-applied-statistics/,https://future.utsa.edu/programs/doctoral/applied-statistics/,,
Utah State University,https://www.usu.edu/degrees/index.cfm?id=48,https://www.usu.edu/math/graduates/apply,,
Montana State University,https://math.montana.edu/grad_students/phd_stats.html,https://math.montana.edu/grad_students/graduateprogramapplication.html,,
New Jersey Institute of Technology,https://www.usnews.com/best-colleges/njit-2621/applying,https://www.njit.edu/admissions/phd-programs,,
Northern Illinois University,https://www.niu.edu/grad/academics/masters/statistics.shtml,https://www.niu.edu/grad/admissions/index.shtml,,
University of Alabama,https://manderson.culverhouse.ua.edu/ph-d-programs/applied-statistics-phd/,https://graduate.ua.edu/prospective-students/apply-now/supporting-documents/test-score-requirements/,,
Marquette University,https://www.marquette.edu/grad/programs-computational-mathematical-statistical-sciences.php,https://www.marquette.edu/grad/future-apply.php,,
Oklahoma State University,https://go.okstate.edu/graduate-academics/programs/doctoral/statistics-phd.html,https://go.okstate.edu/graduate-academics/programs/doctoral/statistics-phd.html,,
Portland State University,https://www.pdx.edu/math/graduate-application-instructions,https://www.pdx.edu/math/graduate-application-instructions,,
University of Arkansas,https://graduate-and-international.uark.edu/graduate/future-students/applying/application-deadlines.php,https://esrm.uark.edu/phd/admission-requirements.php,,
University of North Carolina--Greensboro,https://mathstats.uncg.edu/graduate/apply/,https://mathstats.uncg.edu/graduate/apply/,,
University of South Florida,https://www.petersons.com/graduate-schools/university-of-south-florida-college-of-arts-and-sciences-department-of-mathematics-and-statistics-000_10036503.aspx,https://www.usf.edu/admissions/graduate/admission-information/academic-requirements.aspx,,
Central Michigan University,https://www.cmich.edu/academics/colleges/college-science-engineering/departments-schools/statistics-actuarial-and-data-sciences/graduate-programs,https://www.cmich.edu/program/statistics-analytics-phd,,
Michigan Technological University,https://www.mtu.edu/gradschool/programs/degrees/statistics/,https://www.mtu.edu/gradschool/programs/degrees/statistics/,,
Old Dominion University,https://www.odu.edu/business/departments/sps/academics/paup/phd-admission,https://www.odu.edu/admission/graduate/requirements,,
University of Nevada--Reno,https://statistics.colostate.edu/applying-to-the-ms-phd-program-in-statistics-beta/,https://www.unr.edu/math/graduate/phd-in-statistics-and-data-science-handbook/application-process,,
South Dakota State University,https://www.sdstate.edu/mathematics-statistics/computational-science-and-statistics-phd,https://www.sdstate.edu/mathematics-statistics/graduate-programs,,
University of Toledo,https://www.utoledo.edu/nsm/mathstats/application-procedure.html,https://www.utoledo.edu/nsm/mathstats/application-procedure.html,,
Western Michigan University,https://wmich.edu/statistics/phd,https://wmich.edu/statistics/phd,,
North Dakota State University,https://www.sdstate.edu/mathematics-statistics/computational-science-and-statistics-phd,https://catalog.ndsu.edu/programs-study/graduate/statistics/,,
Oakland University,https://oakland.edu/math/graduate-programs/ph-d-program/,https://oakland.edu/math/graduate-programs/ph-d-program/,,
University of Northern Colorado,https://www.unco.edu/graduate-school/degrees-and-programs/doctorate-programs/applied-statistics-and-research-methods-phd.aspx,https://www.unco.edu/graduate-school/degrees-and-programs/doctorate-programs/applied-statistics-and-research-methods-phd.aspx,,
